"","day","o/u staffed","o/u %"
"1",2021-06-25,-4,"-15%"
"2",2021-06-21,-3,"-12%"
"3",2021-06-18,-2,"-8%"
"4",2021-06-11,-1,"-5%"
"5",2021-06-14,-1,"-5%"
