"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2021-08-02,0,0,0,0,0
"2",2021-08-09,0,0,0,0,1
"3",2021-08-16,1,1,2,0,1
"4",2021-08-23,0,0,1,1,1
