"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2021-05-31,0,4,3,6,9
"2",2021-06-07,6,7,5,7,8
"3",2021-06-14,5,8,8,9,11
"4",2021-06-21,8,7,7,6,9
