"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-10-31,27,38,30,35,40
"2",2022-11-07,43,49,35,51,0
"3",2022-11-14,43,47,38,38,38
"4",2022-11-21,42,47,69,0,0
