"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-01-31,0,0,0,0,0
"2",2022-02-07,0,0,0,0,0
"3",2022-02-14,0,0,0,0,0
"4",2022-02-21,0,0,0,0,0
"5",2022-01-31,3,1,2,1,1
"6",2022-01-31,2,1,3,1,4
"7",2022-01-31,0,1,1,0,1
"8",2022-01-31,0,0,0,0,0
