"","day","o/u staffed","o/u %"
"1",2021-06-17,-2,"-17%"
"2",2021-06-01,-1,"-12%"
"3",2021-06-04,-1,"-12%"
"4",2021-06-25,-1,"-12%"
"5",2021-06-02,-1,"-8%"
