"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-10-31,0,1,0,0,1
"2",2022-11-07,1,1,1,1,0
"3",2022-11-14,1,1,1,1,1
"4",2022-11-21,0,0,0,0,0
