"","day","o/u staffed","o/u %"
"1",2021-06-08,4,"7%"
"2",2021-06-11,5,"9%"
"3",2021-06-18,5,"9%"
"4",2021-06-10,5,"10%"
"5",2021-06-04,6,"10%"
