"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-02-28,0,0,0,1,2
"2",2022-03-07,2,2,2,3,5
"3",2022-03-14,2,1,1,1,0
"4",2022-03-21,1,0,0,0,0
