"","day","o/u staffed","o/u %"
"1",2021-06-21,-2,"-33%"
"2",2021-06-02,-2,"-32%"
"3",2021-06-23,-2,"-32%"
"4",2021-06-03,-2,"-28%"
"5",2021-06-17,-2,"-28%"
