"","day","o/u staffed","o/u %"
"1",2021-06-09,3,"35%"
"2",2021-06-15,4,"39%"
"3",2021-06-02,4,"45%"
"4",2021-06-16,4,"45%"
"5",2021-06-23,4,"45%"
