"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-04-04,0,0,1,2,2
"2",2022-04-11,3,2,4,4,2
"3",2022-04-18,0,4,3,3,1
"4",2022-04-25,2,3,5,4,4
"5",2022-04-04,0,0,0,0,0
"6",2022-04-04,0,0,0,0,0
"7",2022-04-04,0,0,0,0,0
