"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-08-01,4,4,5,5,3
"2",2022-08-08,5,5,2,3,4
"3",2022-08-15,6,8,5,6,10
"4",2022-08-22,5,4,4,3,7
