"","day","o/u staffed","o/u %"
"1",2021-06-17,-2,"-17%"
"2",2021-06-08,-1,"-7%"
"3",2021-06-07,0,"0%"
"4",2021-06-14,0,"0%"
"5",2021-06-21,0,"0%"
