"","day","o/u staffed","o/u %"
"1",2021-06-07,-1,"-6%"
"2",2021-06-21,-1,"-6%"
"3",2021-06-10,-1,"-5%"
"4",2021-06-09,0,"-2%"
"5",2021-06-18,0,"-2%"
