"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-01-03,2,1,1,0,1
"2",2022-01-10,0,0,0,3,0
"3",2022-01-17,0,1,1,1,0
"4",2022-01-24,2,0,1,2,1
