"","day","o/u staffed","o/u %"
"1",2021-06-08,-7,"-63%"
"2",2021-06-11,-7,"-62%"
"3",2021-06-23,-6,"-62%"
"4",2021-06-10,-6,"-55%"
"5",2021-06-17,-6,"-55%"
