"","day","o/u staffed","o/u %"
"1",2021-06-21,-3,"-28%"
"2",2021-06-23,-3,"-27%"
"3",2021-06-22,-2,"-18%"
"4",2021-06-18,-2,"-15%"
"5",2021-06-01,-1,"-9%"
