"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-01-03,1,1,1,1,1
"2",2022-01-10,2,1,3,1,1
"3",2022-01-17,0,1,0,1,1
"4",2022-01-24,2,2,3,2,1
