"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-12-05,2,3,3,4,3
"2",2022-12-12,2,4,4,4,4
"3",2022-12-19,3,3,4,6,0
"4",2022-12-26,0,5,6,6,0
