"","day","o/u staffed","o/u %"
"1",2021-06-01,-12,"-64%"
"2",2021-06-23,-11,"-59%"
"3",2021-06-25,-10,"-63%"
"4",2021-06-17,-10,"-57%"
"5",2021-06-24,-10,"-57%"
