"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-05-30,0,0,0,0,0
"2",2022-06-06,0,1,0,2,2
"3",2022-06-13,0,0,1,3,0
"4",2022-06-20,0,0,1,0,0
