"","day","o/u staffed","o/u %"
"1",2021-06-25,-2,"-43%"
"2",2021-06-07,-1,"-30%"
"3",2021-06-11,-1,"-24%"
"4",2021-06-23,-1,"-24%"
"5",2021-06-24,-1,"-24%"
