"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-01-31,0,0,0,0,0
"2",2022-02-07,0,0,0,0,0
"3",2022-02-14,0,0,0,0,0
"4",2022-02-21,0,0,0,0,0
"5",2022-01-31,2,1,1,2,2
"6",2022-01-31,4,2,2,2,2
"7",2022-01-31,0,3,3,3,1
"8",2022-01-31,0,0,0,0,0
