"","day","o/u staffed","o/u %"
"1",2021-06-04,-6,"-13%"
"2",2021-06-07,-5,"-11%"
"3",2021-06-18,-4,"-8%"
"4",2021-06-25,-4,"-8%"
"5",2021-06-11,-3,"-6%"
