"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-01-03,1,2,3,3,3
"2",2022-01-10,2,4,2,5,2
"3",2022-01-17,0,2,2,3,1
"4",2022-01-24,2,4,4,4,3
