"","day","o/u staffed","o/u %"
"1",2021-06-16,-9,"-16%"
"2",2021-06-24,-9,"-16%"
"3",2021-06-25,-8,"-15%"
"4",2021-06-17,-6,"-11%"
"5",2021-06-07,-6,"-10%"
