"","day","o/u staffed","o/u %"
"1",2021-06-07,-2,"-18%"
"2",2021-06-21,-2,"-18%"
"3",2021-06-08,-2,"-16%"
"4",2021-06-09,-1,"-12%"
"5",2021-06-16,-1,"-12%"
