"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2021-05-31,0,2,0,1,1
"2",2021-06-07,0,0,2,1,0
"3",2021-06-14,0,0,1,1,0
"4",2021-06-21,1,0,0,2,2
