"","day","o/u staffed","o/u %"
"1",2021-06-18,-1,"-9%"
"2",2021-06-09,-1,"-6%"
"3",2021-06-16,-1,"-6%"
"4",2021-06-17,-1,"-4%"
"5",2021-06-01,0,"-3%"
