"","day","o/u staffed","o/u %"
"1",2021-06-23,-6,"-51%"
"2",2021-06-08,-6,"-49%"
"3",2021-06-24,-6,"-48%"
"4",2021-06-18,-5,"-46%"
"5",2021-06-02,-5,"-43%"
