"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-02-28,2,2,2,2,4
"2",2022-03-07,4,3,6,6,8
"3",2022-03-14,4,5,4,6,6
"4",2022-03-21,4,4,3,4,0
