"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-05-30,0,2,2,3,4
"2",2022-06-06,3,3,5,5,6
"3",2022-06-13,3,3,2,3,3
"4",2022-06-20,0,2,1,2,2
