"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-10-03,2,0,0,0,1
"2",2022-10-10,0,2,0,2,1
"3",2022-10-17,2,3,0,2,3
"4",2022-10-24,1,0,1,3,1
