"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-01-31,0,0,0,0,0
"2",2022-02-07,0,0,0,0,0
"3",2022-02-14,1,0,0,1,1
"4",2022-02-21,0,0,0,0,0
