"","week","Monday","Tuesday","Wednesday","Thursday","Friday"
"1",2022-01-03,1,1,2,0,0
"2",2022-01-10,0,0,0,0,0
"3",2022-01-17,0,0,1,0,1
"4",2022-01-24,0,0,0,0,0
